id,titlu,an,n_chirilic_chars,pct_chirilic,prob_cls1_orig,prob_cls1_ablated,delta_prob_cls1,pred_orig,pred_ablated,flip
vrd_0134,PROPAGANDĂ DE RĂZBOI: Masacrul de la Izium a fost o înscenare menită să compromită armata rusă,2022,0,0.0,0.002701327670365572,0.002701327670365572,0.0,0,0,0
vrd_0446,Rusia a invadat România doar o dată,2024,0,0.0,0.673976480960846,0.673976480960846,0.0,1,1,0
vrd_0543,Propunerea rusă de pace - singura șansă de salvare a Ucrainei,2025,0,0.0,0.6715071201324463,0.6715071201324463,0.0,1,1,0
vrd_0642,"Ucraina e distrusă de liderii săi, nu de război",2026,0,0.0,0.0016340266447514296,0.0016340266447514296,0.0,0,0,0
vrd_0311,Aderarea Ucrainei și Moldovei va ruina UE,2023,0,0.0,0.017338497564196587,0.017338497564196587,0.0,0,0,0
vrd_0075,Occidentul luptă cu Rusia prin intermediul Ucrainei,2022,0,0.0,0.6761296391487122,0.6761296391487122,0.0,1,1,0
vrd_0054,Zelenski condiționează drepturile comunității românești din Ucraina de ajutorul Bucureștiului,2022,0,0.0,0.006276218686252832,0.006276218686252832,0.0,0,0,0
vrd_0135,PROPAGANDĂ DE RĂZBOI: Mobilizarea parțială ordonată de Putin va preveni un dezastru nuclear și va duce la o dezescaladare a conflictului și un dialog diplomatic,2022,0,0.0,0.001919920789077878,0.001919920789077878,0.0,0,0,0
vrd_0084,La Chișinău au sosit agenți FBI pentru a împinge Republica Moldova către confruntări militare cu Rusia,2022,0,0.0,0.023195592686533928,0.023195592686533928,0.0,0,0,0
vrd_0288,"Specialiști NATO din România și Olanda, uciși în Ucraina",2023,0,0.0,0.0027559937443584204,0.0027559937443584204,0.0,0,0,0
vrd_0440,Zelenski prelungește războiul la indicația Occidentului,2024,0,0.0,0.6721014380455017,0.6721014380455017,0.0,1,1,0
vrd_0425,Conducerea Republicii Moldova încearcă să interzică creștinismul și să readucă țara la păgânism,2024,0,0.0,0.0028145348187536,0.0028145348187536,0.0,0,0,0
vrd_0575,România nu primește compensații pentru sprijinul dat Ucrainei,2025,0,0.0,0.6813578605651855,0.6813578605651855,0.0,1,1,0
vrd_0338,"Rusia apără de nazism teritoriul său, Novorossia",2024,0,0.0,0.5590872764587402,0.5590872764587402,0.0,1,1,0
vrd_0273,"Maia Sandu a închis 200 de școli, alungând tinerii din R. Moldova",2023,0,0.0,0.671649158000946,0.671649158000946,0.0,1,1,0
vrd_0476,Șeful NATO este de acord cu cedarea Groenlandei către SUA,2025,0,0.0,0.0018622170900925994,0.0018622170900925994,0.0,0,0,0
vrd_0615,"Un înalt oficial ucrainean a ""dezertat""",2025,0,0.0,0.002670286688953638,0.002670286688953638,0.0,0,0,0
vrd_0291,"Infrastructura Moldovei, dezvoltată pentru Ucraina",2023,0,0.0,0.018168464303016663,0.018168464303016663,0.0,0,0,0
